League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,REB,AST,STL,BLK,PTS,TOV,PF,PTS_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,TOV_per_min,3P_pct,FT_pct,FG_pct
NBA,2016 - 2017,Playoffs,Mike Conley,MEM,6,223.6,50,103,17,38,31,37,1,19,20,42,10,3,148,12,11,0.6618962432915921,0.08944543828264759,0.18783542039355994,0.044722719141323794,0.013416815742397139,0.053667262969588556,0.4473684210526316,0.8378378378378378,0.4854368932038835
NBA,2016 - 2017,Playoffs,Dennis Schroder,ATL,6,211.5,50,110,17,40,31,37,4,10,14,46,6,0,148,10,19,0.6997635933806147,0.06619385342789598,0.21749408983451538,0.028368794326241134,0.0,0.04728132387706856,0.425,0.8378378378378378,0.45454545454545453
NBA,2016 - 2017,Playoffs,Paul Millsap,ATL,6,219.4,50,99,3,17,43,53,9,47,56,26,10,4,146,23,19,0.6654512306289881,0.2552415679124886,0.11850501367365542,0.04557885141294439,0.018231540565177756,0.1048313582497721,0.17647058823529413,0.8113207547169812,0.5050505050505051
NBA,2016 - 2017,Playoffs,J.R. Smith,CLE,18,486.6,50,99,40,80,5,11,5,37,42,13,13,6,145,12,41,0.29798602548294284,0.08631319358816276,0.026715988491574187,0.026715988491574187,0.012330456226880395,0.02466091245376079,0.5,0.45454545454545453,0.5050505050505051
NBA,2016 - 2017,Playoffs,Serge Ibaka,TOR,10,306.5,60,130,12,38,11,13,9,56,65,14,4,17,143,11,37,0.466557911908646,0.21207177814029363,0.04567699836867863,0.013050570962479609,0.05546492659053834,0.03588907014681892,0.3157894736842105,0.8461538461538461,0.46153846153846156
NBA,2016 - 2017,Playoffs,Eric Gordon,HOU,11,358.2,51,121,27,70,13,18,5,38,43,22,8,6,142,14,20,0.3964265773311,0.12004466778336126,0.06141820212171971,0.02233389168062535,0.016750418760469014,0.03908431044109436,0.38571428571428573,0.7222222222222222,0.4214876033057851
NBA,2016 - 2017,Playoffs,Joe Johnson,UTA,11,326.4,58,133,15,45,11,15,8,35,43,27,6,1,142,13,21,0.43504901960784315,0.13174019607843138,0.08272058823529413,0.01838235294117647,0.003063725490196079,0.039828431372549024,0.3333333333333333,0.7333333333333333,0.43609022556390975
NBA,2016 - 2017,Playoffs,Lou Williams,HOU,11,271.6,50,118,12,39,26,29,7,23,30,14,7,1,138,14,17,0.508100147275405,0.11045655375552282,0.05154639175257732,0.02577319587628866,0.0036818851251840938,0.05154639175257732,0.3076923076923077,0.896551724137931,0.423728813559322
NBA,2016 - 2017,Playoffs,Jimmy Butler,CHI,6,238.7,46,108,6,23,38,47,9,35,44,26,10,5,136,15,10,0.5697528278173439,0.18433179723502305,0.10892333472978635,0.04189359028068706,0.02094679514034353,0.06284038542103058,0.2608695652173913,0.8085106382978723,0.42592592592592593
NBA,2016 - 2017,Playoffs,Tony Parker,SAS,8,211.3,51,97,11,19,14,14,2,18,20,25,4,0,127,12,10,0.6010411736867013,0.0946521533364884,0.1183151916706105,0.01893043066729768,0.0,0.05679129200189304,0.5789473684210527,1.0,0.5257731958762887
